math,language,earn,ethblack,ethhisp,ethwhite,hgc,hgcp,id,l14coun,l14farm,l14town,lgearn,male,pov78,siblings
111,94,16.6800003,0,0,1,12,24,4771,0,1,0,2.814210415,1,0,2
117,113,16.90000067,0,0,1,14,24,937,0,0,1,2.827313662,1,0,6
71,82,8.000000046,0,0,1,12,19,2882,0,0,1,2.079441547,1,0,4
122,119,14.06000036,0,0,1,17,29,3886,0,0,1,2.643333912,1,0,4
103,109,12.99999892,0,0,1,12,21,3722,0,1,0,2.564949274,1,0,0
106,110,14.4999987,0,0,1,12,24,5149,1,0,0,2.67414856,1,1,1
96,100,11.10999882,0,0,1,14,25,5347,1,0,0,2.407845497,1,#?/?,2
100,98,6.00000013,0,0,1,12,23,3994,0,0,1,1.791759491,1,0,3
117,119,28.83999788,0,0,1,20,24,3290,0,0,1,3.361763239,1,0,2
113,106,17.67000151,0,0,1,16,20,107,0,0,1,2.871868372,1,0,2
126,116,11.38999891,0,0,1,15,21,2336,0,0,1,2.432735682,1,1,1
84,81,11.0000007,0,0,1,12,32,610,0,0,1,2.397895336,1,0,7
109,119,35.49999774,0,0,1,13,29,4088,0,0,1,3.569532633,1,0,1
117,114,19.22999776,0,0,1,12,25,11917,0,0,1,2.956471443,1,0,3
116,113,6.860000122,0,0,1,12,29,4102,1,0,0,1.925707459,1,#?/?,0
104,89,10.18000023,0,1,0,14,19,2696,0,0,1,2.320425034,1,1,4
112,93,17.77999892,0,0,1,12,24,3575,1,0,0,2.878074169,1,0,4
116,111,6.99999963,0,0,1,18,36,4998,0,0,1,1.945910096,1,0,2
96,102,5.499999682,0,0,1,12,24,1060,0,0,1,1.704748034,1,0,6
123,113,6.50000022,0,1,0,14,21,1819,0,0,1,1.871802211,1,0,1
80,62,7.549999945,0,0,1,8,11,5447,1,0,0,2.021547556,1,0,3
86,62,11.09999869,0,0,1,13,22,5235,0,0,1,2.40694499,1,0,3
92,78,27.50000252,0,0,1,12,22,3474,0,0,1,3.314186096,1,0,3
104,87,38.4599956,0,0,1,13,24,818,0,0,1,3.649618626,1,0,1
114,114,53.19999964,0,0,1,16,32,3672,0,0,1,3.97405839,1,0,2
72,88,27.00000161,0,0,1,12,15,697,0,0,1,3.295836926,1,0,5
69,63,13.49000092,0,0,1,12,24,1957,0,0,1,2.601948738,1,0,3
104,110,11.0000007,0,1,0,20,28,1668,1,0,0,2.397895336,1,0,2
96,81,24.00000061,0,0,1,12,24,3479,0,0,1,3.178053856,1,0,2
124,116,17.92000032,0,0,1,15,20,2838,0,0,1,2.885917425,1,0,2
102,119,7.090000408,0,0,1,14,24,2975,0,0,1,1.958685398,1,0,2
111,104,9.170000823,0,0,1,12,15,2741,1,0,0,2.215937376,1,0,2
108,115,15.82000143,0,0,1,19,16,101,0,0,1,2.761275053,1,0,1
108,97,12.00000028,0,0,1,12,20,3246,1,0,0,2.484906673,1,0,1
111,113,40.0600039,0,0,1,12,25,5405,0,1,0,3.690378428,1,1,1
62,68,8.499999859,0,0,1,9,17,5556,0,0,1,2.140066147,1,0,3
118,110,16.02000163,0,0,1,19,32,482,0,0,1,2.773838043,1,0,2
115,101,11.1799992,0,0,1,14,22,667,0,0,1,2.414126396,1,0,2
85,76,10.00000032,0,0,1,12,18,5534,0,1,0,2.302585125,1,0,8
115,113,21.38999804,0,0,1,12,27,3037,0,0,1,3.062923431,1,0,6
84,93,8.829999389,1,0,0,12,20,1523,1,0,0,2.178154945,1,0,6
128,119,17.25000056,0,0,1,16,24,3902,0,0,1,2.847812176,1,0,1
104,114,12.98000122,1,0,0,12,24,2169,1,0,0,2.563409805,1,0,2
73,57,11.0000007,0,0,1,13,25,5267,0,1,0,2.397895336,1,0,3
95,84,11.83000088,1,0,0,17,23,1433,1,0,0,2.470638752,1,0,2
72,56,10.00000032,0,0,1,7,17,5449,0,0,1,2.302585125,1,0,4
95,88,13.46000082,1,0,0,13,27,11841,0,0,1,2.599722385,1,0,2
120,110,16.92000173,0,0,1,12,28,502,0,0,1,2.828496456,1,0,3
102,105,7.400000757,0,0,1,16,29,11889,0,0,1,2.001480103,1,0,2
107,112,30.76000084,0,0,1,12,16,5431,0,1,0,3.426215172,1,1,3
82,81,8.75000081,0,0,1,12,14,5357,0,0,1,2.169053793,1,0,2
92,106,7.50000036,0,0,1,12,26,150,0,0,1,2.014903069,1,0,0
99,109,6.250000352,0,0,1,12,24,145,0,0,1,1.83258152,1,0,3
119,99,7.140000067,0,0,1,12,24,4327,0,0,1,1.965712786,1,0,4
91,104,14.93000157,0,0,1,12,24,1353,0,0,1,2.703372717,1,0,1
64,91,9.919998827,1,0,0,12,17,12125,0,1,0,2.294552803,1,0,2
110,107,6.799999708,0,0,1,18,24,5394,0,1,0,1.916922569,1,0,2
114,121,24.46999754,0,0,1,16,33,3874,0,0,1,3.197447777,1,0,2
113,104,8.889999441,0,0,1,12,26,2014,0,0,1,2.184926987,1,0,3
105,116,11.91999929,0,0,1,16,25,2189,1,0,0,2.478217602,1,1,5
118,118,21.14999767,0,0,1,14,25,4866,0,0,1,3.051639795,1,0,4
120,117,8.650000639,0,0,1,12,20,3776,0,0,1,2.157559395,1,0,2
85,69,9.580000542,0,1,0,12,8,11947,0,0,1,2.259677649,1,1,12
109,98,14.00000096,1,0,0,13,23,12050,0,0,1,2.639057398,1,0,7
93,83,8.900000819,0,0,1,12,23,1351,0,0,1,2.186051369,1,0,2
118,108,16.33999946,0,0,1,15,24,1188,0,0,1,2.793616056,1,0,2
127,119,21.62999876,0,0,1,18,31,3180,1,0,0,3.074081182,1,0,3
119,95,17.20000079,0,0,1,18,33,198,0,0,1,2.84490943,1,0,1
114,110,19.22999776,0,0,1,18,33,69,0,0,1,2.956471443,1,0,1
94,97,18.26000074,0,0,1,15,24,5300,1,0,0,2.904712915,1,1,2
105,91,8.75000081,0,0,1,12,24,2539,0,0,1,2.169053793,1,0,3
95,95,12.82000133,0,0,1,12,14,5451,1,0,0,2.551006556,1,0,3
104,116,37.50000293,0,0,1,16,24,556,0,0,1,3.624341011,1,0,3
80,90,10.50000088,0,0,1,12,38,5251,0,0,1,2.351375341,1,0,3
116,116,67.30000614,0,0,1,16,24,218,0,0,1,4.209160328,1,0,2
116,108,13.20000073,0,0,1,12,22,2475,0,0,1,2.580216885,1,0,5
127,112,6.750000376,0,0,1,13,26,178,0,0,1,1.909542561,1,0,2
119,118,10.57000031,1,0,0,16,24,88,0,0,1,2.358019829,1,#?/?,1
65,51,15.00000075,0,0,1,8,22,1205,0,0,1,2.708050251,1,0,5
125,113,38.4599956,0,0,1,16,30,2468,0,0,1,3.649618626,1,#?/?,1
126,118,28.83999788,0,0,1,18,26,195,0,0,1,3.361763239,1,0,1
116,113,15.61999906,0,0,1,12,27,583,0,0,1,2.748552084,1,0,1
92,93,8.000000046,0,1,0,12,21,1418,1,0,0,2.079441547,1,0,2
112,103,20.00000068,0,0,1,12,22,4498,0,0,1,2.995732307,1,1,4
98,84,10.00000032,0,0,1,12,18,3203,0,0,1,2.302585125,1,0,4
86,87,10.00000032,0,0,1,12,24,5184,0,0,1,2.302585125,1,0,5
115,103,10.7000005,0,0,1,12,24,3195,0,0,1,2.370243788,1,0,2
88,121,7.320000242,0,1,0,12,18,11883,0,0,1,1.990610361,1,0,2
100,107,29.10000273,0,0,1,12,26,1744,0,0,1,3.370738268,1,0,3
101,109,7.599999445,0,0,1,11,26,12009,0,0,1,2.028148174,1,0,1
109,114,19.47999899,0,0,1,16,22,3139,0,0,1,2.969388247,1,0,1
103,81,18.26000074,0,0,1,17,12,11985,0,0,1,2.904712915,1,1,1
122,118,15.38000039,0,0,1,15,37,2024,0,0,1,2.733067989,1,0,1
115,100,12.50000073,0,0,1,12,24,973,1,0,0,2.525728703,1,0,2
99,80,3.329999963,0,0,1,14,27,5441,0,0,1,1.202972293,1,0,2
71,84,6.00000013,0,0,1,10,20,3981,0,0,1,1.791759491,1,1,4
87,112,11.6200005,0,1,0,14,24,5013,0,0,1,2.452727795,1,0,2
107,108,11.55999896,0,0,1,12,22,1911,0,0,1,2.447550774,1,#?/?,1
120,110,23.9300021,1,0,0,16,31,671,0,0,1,3.17513299,1,0,1
103,115,14.34999987,0,0,1,12,24,24,0,0,1,2.663749933,1,0,2
88,72,16.00000012,0,0,1,12,21,4986,0,0,1,2.77258873,1,0,1
60,49,15.00000075,1,0,0,12,9,12132,0,0,1,2.708050251,1,1,10
128,118,28.00000196,0,0,1,18,28,4921,0,0,1,3.33220458,1,0,1
122,112,30.76000084,0,0,1,16,26,645,0,0,1,3.426215172,1,0,2
89,77,9.869999074,0,0,1,12,24,4061,0,0,1,2.28949976,1,0,2
113,113,32.2099988,0,0,1,16,32,2300,1,0,0,3.472276926,1,0,5
92,90,7.69000018,0,0,1,12,22,1590,0,0,1,2.039920807,1,0,3
128,120,26.9200017,0,0,1,19,30,3668,0,0,1,3.292869568,1,#?/?,3
112,108,10.00000032,0,0,1,17,30,573,0,0,1,2.302585125,1,#?/?,1
67,81,10.00000032,0,0,1,12,26,1545,0,0,1,2.302585125,1,0,4
100,101,13.49000092,0,0,1,14,28,3219,1,0,0,2.601948738,1,0,5
117,123,13.86000149,0,0,1,17,24,4767,0,0,1,2.629007101,1,0,2
82,89,6.250000352,1,0,0,12,24,2208,1,0,0,1.83258152,1,0,3
78,111,12.99999892,0,0,1,12,24,2922,0,0,1,2.564949274,1,#?/?,4
99,95,22.1799993,0,0,1,15,24,4517,0,0,1,3.09919095,1,0,2
117,107,10.21999957,0,0,1,20,34,1503,0,0,1,2.324346542,1,0,1
73,71,4.749999769,1,0,0,12,21,4314,0,0,1,1.558144569,1,1,6
121,95,23.070001,0,0,1,12,24,4545,0,0,1,3.138533115,1,0,4
111,103,16.74999965,0,0,1,12,26,1554,0,0,1,2.818398237,1,0,4
89,95,10.84999966,0,0,1,12,22,1396,0,0,1,2.384165049,1,0,1
78,64,62.50000552,0,0,1,12,18,2135,0,0,1,4.135166645,1,0,0
120,107,5.00000015,0,0,1,14,24,5318,1,0,0,1.609437943,1,0,4
103,111,9.61000045,0,1,0,16,27,1763,1,0,0,2.26280427,1,0,1
117,111,14.40000022,0,0,1,12,19,4808,0,0,1,2.667228222,1,0,7
86,79,12.6900015,0,0,1,12,24,1278,0,0,1,2.5408144,1,0,5
110,81,30.00000155,0,0,1,12,28,4630,0,0,1,3.401197433,1,0,1
84,98,12.00000028,0,0,1,12,24,2852,1,0,0,2.484906673,1,0,0
118,105,27.87999676,0,0,1,14,27,4699,0,0,1,3.32790947,1,0,3
